lat,lng,flag,name,hours
-2.8,131.3,IDN,KM NELAYAN MAJU,5.9
-7.2,126.8,IDN,KM BINTANG LAUT,7.6
-3.7,129.1,CHN,HAI YU 3301,11.8
-5.9,128.3,IDN,KM SEJAHTERA 12,6.4
-4.1,130.8,IDN,KM BAHAGIA 07,7.9
-6.3,127.9,IDN,KM SINAR MAS,8.3
-3.4,129.4,CHN,MIN YU 8201,12.1
-5.1,128.1,IDN,KM MAJU BERSAMA,7.4
18.4,62.3,IND,MUMBAI 801,7.4
22.7,65.8,IND,GUJARAT 22,9.1
14.2,60.1,OMN,MUSCAT STAR,6.8
20.5,63.7,IND,LAKSHADWEEP 5,8.3
16.8,61.4,PAK,GWADAR 08,7.9
23.1,64.2,IND,SAURASHTRA 12,9.6
12.9,59.8,OMN,SALALAH FISHER,6.1
19.7,62.8,IND,MUMBAI QUEEN,8.8
21.4,64.9,IND,OKHA 15,9.3
15.6,60.7,OMN,DUQM STAR,7.2
17.9,62.1,PAK,KARACHI 22,8.4
24.3,65.4,IND,MANDVI FISHER,10.1
56.8,2.1,GBR,NORTHERN STAR,7.3
54.2,4.8,NLD,NETHERLANDS ROSE,8.1
58.3,1.4,GBR,ABERDEENSHIRE,9.4
52.6,5.7,NLD,IJMUIDEN QUEEN,7.6
55.9,3.2,GBR,SCOTLAND WAVE,8.8
53.4,6.2,DEU,CUXHAVEN PRIDE,7.2
57.7,0.9,GBR,HEBRIDES STAR,9.1
54.8,5.1,NLD,URK FISHER,8.4
59.2,2.6,GBR,ORKNEY WAVE,9.8
53.9,6.7,DEU,BREMERHAVEN 08,7.6
56.3,3.8,GBR,NORTH SEA QUEEN,8.3
9.8,102.4,THA,SUPHAN BURI,7.1
12.3,100.8,THA,GULF STAR 22,8.4
7.6,103.2,VNM,KIEN GIANG 9901,6.7
11.4,101.3,THA,TRAT FISHER,9.2
8.9,102.8,KHM,CAMBODIA SEA,5.8
13.7,100.1,THA,CHONBURI 15,8.7
10.6,102.1,THA,RAYONG 08,7.8
6.3,103.6,VNM,CA MAU 88001,6.4
12.8,100.4,THA,PATTAYA STAR,9.1
-14.3,150.8,AUS,CORAL SEA 01,6.2
-18.7,152.4,AUS,QUEENSLAND STAR,7.8
-12.1,149.6,PHL,CORAL PRINCESS,5.4
-21.4,153.7,AUS,GREAT BARRIER,8.9
-16.8,151.2,FJI,SUVA FISHER,6.7
-10.2,148.9,PNG,PAPUA STAR,5.1
-19.5,152.8,AUS,TOWNSVILLE 08,8.3
-15.6,150.1,PHL,BATANGAS QUEEN,6.8
-46.2,-50.1,CHN,YUAN XING 12,15.1
-36.4,-54.3,ARG,ATLANTIC PATAGONIA,8.7
-28.6,-48.9,BRA,SANTA CATARINA,6.4
-31.2,-50.7,BRA,RIO GRANDE STAR,7.8
62.1,5.4,NOR,AALESUND QUEEN,11.8
64.8,14.1,NOR,BODO FISHER,12.4
67.3,16.8,NOR,LOFOTEN 08,13.1
59.7,6.2,NOR,BERGEN STAR,10.7
57.4,8.1,DNK,THYBORON 22,9.4
55.8,8.9,DNK,ESBJERG QUEEN,8.8
-33.8,18.5,ZAF,CAPE TOWN STAR,7.6
-34.4,26.1,ZAF,PORT ELIZABETH,8.2
-29.8,31.2,ZAF,DURBAN QUEEN,7.4
-35.1,24.8,ZAF,MOSSEL BAY 15,8.9
-4.6,-38.1,BRA,FORTALEZA STAR,6.8
-8.3,-35.2,BRA,RECIFE FISHER,7.4
-12.9,-38.6,BRA,BAHIA QUEEN,8.1
-23.7,-43.1,BRA,RIO FISHER,7.9
-26.4,-48.3,BRA,SANTOS STAR,8.6
44.1,132.8,RUS,VLADIVOSTOK 22,11.2
45.6,131.4,RUS,NAKHODKA FISHER,10.8
42.8,133.6,RUS,PRIMORYE 08,11.9
43.4,132.1,CHN,LIAO YU 9901,14.3
40.8,124.6,CHN,SHANDONG YU 11001,13.7
-6.1,-80.2,ECU,MANTA STAR,8.7
-4.3,-81.5,ECU,SALINAS 22,7.4
-2.6,-80.8,ECU,GUAYAQUIL FISHER,8.2
1.8,6.4,STP,SAO TOME PRIDE,5.3
-2.1,9.8,GAB,LIBREVILLE 08,6.1
0.3,8.7,GAB,GABON STAR,5.8
3.4,7.2,CMR,DOUALA FISHER,6.9
